venue,count
"Stage Palladium Theater Stuttgart",397
"vomFASS Stuttgart",198
"Stage Apollo Theater Stuttgart",183
"Kunstmuseum Stuttgart",150
"Theaterhaus - T2",130
"Renitenztheater",125
"Theaterhaus - T1",115
"Opernhaus",91
"Rosenau - Lokalität & Bühne",88
"Altes Schauspielhaus",85
"Komödie im Marquardt",80
"Theaterhaus - T4",71
"Theaterhaus (am Pragsattel)",69
"Liederhalle Hegelsaal",58
"KKL Beethoven-Saal Stuttgart",56
"Porsche-Arena Stuttgart",56
"Theater der Altstadt",55
"Im Wizemann (Club)",51
"Blühendes Barock",43
"Im Wizemann (Club) Stuttgart",42
"KKL Hegel-Saal Stuttgart",40
"Theaterhaus - T3",40
"FITZ Das Theater animierter Formen",39
"KKL Mozart-Saal Stuttgart",36
"Porsche-Arena",35
"Im Wizemann (Studio)",34
"Kochschule Sonja Lenz",34
"LKA-Longhorn",34
"Schleyer-Halle Stuttgart",34
"Im Wizemann",32
"Im Wizemann (Halle)",32
"Liederhalle Beethovensaal",32
"MS Wilhelma",31
"Im Wizemann (Halle) Stuttgart",30
"Liederhalle Mozartsaal",29
"LKA-Longhorn Stuttgart",29
"Mirjam Grossmann Management Unternehmensberatung",29
"MHP Arena",27
"Schräglage Stuttgart",25
"Theater Atelier",24
"Goldmark's Stuttgart",22
"Kulinarium an der Glems",22
"Sommerzelt - Ensemble Material Theater",22
"Scala Ludwigsburg",21
"Schauspielhaus",21
"Friedrichsbau Varieté Stuttgart",20
"Im Wizemann (Studio) Stuttgart",20
"Hanns-Martin-Schleyer-Halle",19
"Scala Theater Ludwigsburg",19
"Theaterhaus T1 Stuttgart",19
"urbanharbor, MM Studios",19
"Steigenberger Graf Zeppelin",17
"Thalia Stuttgart Schlossplatz",17
"ABV-Zimmertheater",16
"HMDK Stuttgart, Konzertsaal",16
"Wonders Club Stuttgart",16
"anderthalb Bar",15
"ARCOTEL Camino",15
"clubCANN",15
"Literaturhaus Stuttgart",15
"Theater tri-bühne",15
"ASANA GANESHA - Yoga Schule",14
"Schlosshotel Monrepos",14
"Wilhelma Theater",14
"Zentrum Weißenburg",14
"Kulinarium an der Glems/Römerhof",13
"biz - Bildungszentrum des Handels Baden Württemberg GmbH",12
"JuHa West",12
"Kulturquartier Stuttgart",12
"Stiftskirche",12
"Theater Rampe",12
"Central & Union Filmtheater Ludwigsburg",11
"Kulturquartier",11
"Le Petit Coq",11
"MHPArena Ludwigsburg",11
"SpardaWelt Eventcenter",11
"Kammertheater",10
"Wagenhallen Stuttgart",10
"Hospitalhof, Rosengarten",9
"Kultur Brauerei Burg",9
"Kultur- und Kongresszentrum Liederhalle",9
"w7-Eventlocation Stuttgart",9
"Das K - Kultur- und Kongresszentrum - Theatersaal",8
"FITZ! Zentrum für Figurentheater",8
"Haus des Waldes Degerloch",8
"Liederhalle Beethoven-Saal",8
"Tennisclub Weissenhof e.V.",8
"BÜRGER Freilichtbühne Killesberg Stuttgart",7
"Forum am Schloßpark-Theatersaal",7
"Friedenskirche Ludwigsburg",7
"Frischeparadies Stuttgart",7
"Nellys Puppen Theater Stuttgart",7
"Orgelsammlung",7
"Friedrichsbau Variete Stuttgart",6
"Leonhardskirche",6
"Perkins Park",6
"Residenzschloss Ludwigsburg",6
"Theater am Olgaeck Stuttgart",6
"Altes Schauspielhaus - Foyer",5
"Arcotel Camino",5
"Berger Kirche Stuttgart",5
"BOA",5
"Club Zentral Stuttgart",5
"FILharmonie",5
"Goldmark's",5
"Gustav-Siegle-Haus Stuttgart",5
"Liederhalle Stuttgart - Hegelsaal",5
"Porsche Arena Stuttgart",5
"Residenzschloss Ludwigsburg Ordenssaal",5
"Römerhof & Kulinarium an der Glems",5
"Schräglage Club",5
"Stage Apollo Theater",5
"Bürgerhaus Botnang e.V.",4
"Club Zentral",4
"Festplatz Stammheim",4
"HMDK Stuttgart, Kammermusiksaal",4
"MEZELUNA",4
"Neues Schloss",4
"Neues Schloss Ehrenhof Schlossplatz Stuttgart",4
"PLAZA INN Stuttgart Ditzingen",4
"proTON The Club Stuttgart",4
"Renitenztheater Stuttgart",4
"Schloss Ludwigsburg Innenhof",4
"Waldhotel KULINARIUM an der Glems",4
"Cannstatter Wasen & Reitstadion",3
"CUPRA Garage Stuttgart",3
"Forum am Schlosspark Ludwigsburg",3
"Friedenau Stuttgart",3
"Gustav-Siegle Haus Stuttgart",3
"HELENE P",3
"Hospitalhof Stuttgart",3
"KLANGRAUM st. fidelis",3
"Liederkranzhalle Botnang",3
"MHP Arena Stuttgart",3
"Neues Schloss, Weisser Saal",3
"Ratskeller Ludwigsburg",3
"Theaterhaus T2 Stuttgart",3
"Theaterschiff Stuttgart",3
"Werkstatthaus",3
"Aloft Stuttgart",2
"BÜRGER Freilichtbühne Killesberg",2
"Cannstatter Wasen Stuttgart",2
"CVJM Gemeindehaus",2
"Ehrenwert",2
"EmiLu Design Hotel",2
"FITZ",2
"Flohmarkt Stuttgart",2
"Forum am Schloßpark-Bürgersaal",2
"Freies Musikzentrum Feuerbach",2
"Gemeindehaus St. Michael",2
"Gemeindezentrum Christkönig",2
"Goethe Park Burg bei Magdeburg",2
"Hospitalhof, Paul-Lechler-Saal",2
"Im Wizemann (Areal)",2
"JES | Junges Ensemble Stuttgart",2
"Johanneskirche Stuttgart",2
"Kinder- und Jugendhaus Helene P.",2
"Kolpinghaus Bad Cannstatt",2
"Kulturkneipe INTUS",2
"Lutherkirche Stuttgart-Bad Cannstatt",2
"MEZELUNA Stuttgart",2
"Phoenixhalle im Römerkastell",2
"Rampe (Ort wird bei Ticketkauf bekannt gegeben)",2
"Restaurant Theater Friedenau",2
"SardoVINO",2
"SCHARRena Stuttgart",2
"Spielbank Stuttgart THE NEW GRACE (SI-Centrum)",2
"Staatsgalerie Stuttgart, Vortragssaal",2
"WAGENHALLEN",2
"Akademieplatz an der Mathildenstraße Ludwigsburg",1
"Altes Feuerwehrhaus Stuttgart",1
"Altes Schloss Schlosskirche Stuttgart",1
"Altes Schloss Stuttgart, Schlosskirche",1
"Amber Club",1
"Am Holzmarkt Ludwigsburg",1
"Atrium der Stadtbücherei",1
"Bärenwiese Ludwigsburg",1
"Bürgerhaus Rot",1
"Carl Benz Arena",1
"CINEMA",1
"Climax Institutes",1
"Das Forró Haus",1
"Das K-Kultur-und Kongresszentrum",1
"Das K - Kultur- und Kongresszentrum - Festsaal",1
"Das K – Kulturzentrum (Festsaal)",1
"Dreigroschentheater Stuttgart",1
"Energetic life Restaurant",1
"Ev. Stadtkirche am Marktplatz Ludwigsburg",1
"Forum am Schloßpark",1
"Fraunhofer-Institutszentrum IZS",1
"Friedenskirche",1
"Gemeindezentrum Christuskirche",1
"Goldmarks",1
"Goldmark´s Stuttgart",1
"Häussler Bürgerforum",1
"Hi Life Club",1
"HMDK Stuttgart, Orchesterprobenraum",1
"Höhenpark Killesberg Stuttgart",1
"Hospitalkirche",1
"Hotel Huhn Kleintierzuchtverein Ludwigsburg Oßweil",1
"Hotel Maritim - Alte Reithalle",1
"Hotel-Restaurant Abacco",1
"Hugendubel Stuttgart Dorotheen Quartier",1
"ifa – Weltraum",1
"Jugendhaus Hallschlag",1
"KKL Hegel-Saal Konzert Stuttgart",1
"KKL Schiller-Saal Stuttgart",1
"KKL Silcher-Saal Stuttgart",1
"Komödie im Marquardt - Foyer",1
"Kreuzkirche Heslach",1
"Kulturquartier Stuttgart ( the Club)",1
"Kulturzentrum Merlin",1
"Laboratorium",1
"Landesmuseum Die Dürnitz Stuttgart",1
"Landesmuseum Stuttgart",1
"Leonhardskirche Stuttgart",1
"Liederhalle Schiller-Saal",1
"Liederhalle Silchersaal",1
"Markuskirche",1
"Marmorsaal im Weissenburgpark",1
"Mash",1
"Memox",1
"Mercedes-Benz-Museum (Open-Air)",1
"MESSE STUTTGART",1
"Mozartsaal Kultur- und Kongresszentrum Liederhalle Stuttgart",1
"Musikhalle",1
"Neckar Kaeptn",1
"Neues Schloss Stuttgart",1
"Neues Schloss Stuttgart Weisser Saal",1
"Neues Schloss Weißer Saal Stuttgart",1
"Nikolaus-Cusanus-Haus e.V.",1
"Open-Air am echaz.Hafen Stuttgart",1
"OSCHO",1
"PLAZA INN Leonberg/Stuttgart",1
"PLAZA INN Stuttgart-Ditzingen",1
"Rakete (im Theater Rampe) Stuttgart",1
"Romy S.",1
"Salierhalle",1
"Sängerhalle Untertürkheim",1
"Schorndorfer Str. 60 Ludwigsburg",1
"Sportbad NeckarPark",1
"SpOrt Stuttgart",1
"Stadion Festwiese",1
"Stadthalle Möckern",1
"Stadtkirche Stuttgart-Bad Cannstatt",1
"Stiftskirche Stuttgart",1
"St. Nicolaikirche",1
"Strafvollzugsgefängnis Ludwigsburg",1
"studio 55 Ludwigsburg",1
"Tagesbistro Gerok",1
"Theater am Olgaeck",1
"Theater Augustinum am Killesberg",1
"Theater Augustinum am Stillenbuch",1
"Tiefgarage Rathausplatz Ludwigsburg",1
"Uhu Bar",1
"Union Theater & Kino",1
"Universität Stuttgart - Campus Vaihingen",1
"Vivally Club",1
